id,student_id,group_id,praepostor
1707,115,28,
1708,116,28,
1709,135,28,
1710,136,28,
1711,137,28,
1712,117,28,
1713,138,28,
1714,139,28,
1715,118,28,
1716,140,28,
1717,141,28,
1718,119,28,
1719,120,28,
1720,121,28,
1736,370,22,
1737,390,22,
1738,351,22,
1739,337,22,
1740,342,22,
1741,386,22,
1742,343,22,
1743,356,22,
1744,385,22,
1745,382,22,
1746,362,22,
1747,388,22,
1748,368,22,
1749,373,22,
1752,279,16,
1753,303,17,
1760,2,26,
1761,160,26,
1762,4,26,
1763,5,26,
1764,6,26,
1765,7,26,
1766,8,26,
1767,9,26,
1768,10,26,
1769,11,26,
1770,12,26,
1771,13,26,
1772,14,26,
1773,15,26,
1774,16,26,
1775,17,26,
1776,18,26,
1777,19,26,
1778,20,26,
1779,21,26,
1781,43,26,
1782,44,26,
1783,45,26,
1784,46,26,
1785,47,26,
1786,48,26,
1787,49,26,
1788,50,26,
1789,51,26,
1790,53,26,
1791,54,26,
1792,55,26,
1793,56,26,
1794,57,26,
1795,58,26,
1796,59,26,
1797,1,26,
1798,26,26,
1799,239,15,
1800,240,15,
1801,241,15,
1802,242,15,
1803,243,15,
1804,245,15,
1805,246,15,
1806,247,15,
1807,248,15,
1808,249,15,
1809,250,15,
1810,251,15,
1811,252,15,
1812,253,15,
1813,254,15,
1814,255,15,
1815,256,15,
1816,257,15,
1817,258,15,
1818,260,15,
1819,261,15,
1820,244,15,
1822,2,1,
1823,160,1,
1824,4,1,
1825,5,1,
1826,6,1,
1827,7,1,
1828,8,1,
1829,9,1,
1830,10,1,
1831,11,1,
1832,12,1,
1833,13,1,
1834,14,1,
1835,15,1,
1836,16,1,
1837,17,1,
1838,18,1,
1839,19,1,
1840,20,1,
1841,21,1,
1842,1,1,
1843,22,1,
1844,23,2,
1845,25,2,
1846,26,2,
1847,24,2,
1848,27,2,
1849,28,2,
1850,29,2,
1851,30,2,
1852,32,2,
1853,38,2,
1854,34,2,
1855,33,2,
1856,35,2,
1857,36,2,
1858,37,2,
1859,39,2,
1860,40,2,
1861,41,2,
1862,42,2,
1863,142,8,
1864,143,8,
1865,144,8,
1866,145,8,
1867,146,8,
1868,147,8,
1869,148,8,
1870,149,8,
1871,150,8,
1872,151,8,
1873,152,8,
1874,153,8,
1875,154,8,
1876,155,8,
1877,156,8,
1878,157,8,
1879,158,8,
1880,159,8,
1881,122,7,
1882,123,7,
1883,124,7,
1884,125,7,
1885,126,7,
1886,127,7,
1887,128,7,
1888,129,7,
1889,130,7,
1890,131,7,
1891,132,7,
1892,133,7,
1893,134,7,
1894,135,7,
1895,136,7,
1896,137,7,
1897,138,7,
1898,139,7,
1899,140,7,
1900,141,7,
1901,102,6,
1902,103,6,
